Specie,latitude,longitude
Terminalia_acuminata,-22.93676,-43.457511
Terminalia_acuminata,-22.873465,-43.600549
Terminalia_acuminata,-23.02922,-43.52658
Terminalia_acuminata,-23.04458,-43.54258
Terminalia_acuminata,-22.863791,-43.547104
Terminalia_acuminata,-22.971683,-43.026433
Terminalia_acuminata,-23.026186,-43.509497
Terminalia_acuminata,-22.971683,-43.026433
Terminalia_acuminata,-22.833583,-43.49919
Terminalia_acuminata,-23.423337,-47.303067
Terminalia_acuminata,-21.3625,-41.614722
Terminalia_acuminata,-22.836389,-43.564444
Terminalia_acuminata,-22.977222,-43.246667
Terminalia_acuminata,-22.832778,-43.551389
Terminalia_acuminata,-23.044167,-43.542500
Terminalia_acuminata,-22.889927,-42.868161
Terminalia_acuminata,-22.951634,-43.262597
